country,region,price_index,affordability_index,cluster_id,silhouette_score,cluster_label
Switzerland,Europe,1.284910493460726,,0,0.45043117397091087,Premium Markets
Austria,Europe,1.1527146870870075,0.0033908059351671,0,0.45043117397091087,Premium Markets
United States,North America,1.1636606613980944,0.0023645315972798,0,0.45043117397091087,Premium Markets
Norway,Europe,1.178446946815937,,0,0.45043117397091087,Premium Markets
Belgium,Europe,1.141274003737454,0.003449764575803,0,0.45043117397091087,Premium Markets
France,Europe,1.0888521793838284,0.0034202892262514,0,0.45043117397091087,Premium Markets
Denmark,Europe,1.0893509867809958,0.0028752775021344,0,0.45043117397091087,Premium Markets
Germany,Europe,1.1061155363160675,0.0033172745813213,0,0.45043117397091087,Premium Markets
Italy,Europe,1.0259409228249332,0.0049767279760721,0,0.45043117397091087,Premium Markets
Ireland,Europe,1.0359779070221098,0.0018011412853986,0,0.45043117397091087,Premium Markets
Finland,Europe,1.0832033673662365,0.003316628092233,0,0.45043117397091087,Premium Markets
Spain,Europe,0.942589325407984,0.0049744729519407,0,0.45043117397091087,Premium Markets
Australia,Oceania,0.9495811093377068,0.0024251930719873,0,0.45043117397091087,Premium Markets
United Kingdom,Europe,0.9901219929218008,0.0032135331768027,0,0.45043117397091087,Premium Markets
Netherlands,Europe,0.9921555603929972,0.002897253300628,0,0.45043117397091087,Premium Markets
Sweden,Europe,0.998276046078188,0.0027247434750828,0,0.45043117397091087,Premium Markets
Croatia,Europe,0.8892193982046909,0.0077990443897263,0,0.45043117397091087,Premium Markets
Poland,Europe,0.9242175481322998,0.0079766189264675,0,0.45043117397091087,Premium Markets
Czech_Republic,Other,0.88961274779076,,0,0.45043117397091087,Premium Markets
Slovakia,Europe,0.9135019559587954,0.006347305466841,0,0.45043117397091087,Premium Markets
Canada,North America,0.9279459216389124,0.0029124275814353,0,0.45043117397091087,Premium Markets
Portugal,Europe,0.9303168545638132,0.0055924239600209,0,0.45043117397091087,Premium Markets
Hungary,Europe,0.9245290574142498,0.0083156696849651,0,0.45043117397091087,Premium Markets
Slovenia,Europe,0.880523144965769,0.0045001359150664,0,0.45043117397091087,Premium Markets
Romania,Europe,0.8389478647092797,0.0093928185252561,0,0.45043117397091087,Premium Markets
Egypt,Africa,1.5370423630071184,0.0658288571156295,1,0.45043117397091087,Premium Markets
Morocco,Africa,1.4061221411976383,0.0638805651880609,1,0.45043117397091087,Premium Markets
Saudi_Arabia,Other,1.063520757701873,,2,0.45043117397091087,Emerging Markets
Qatar,Middle East,0.946598920804914,0.0015910256566299,2,0.45043117397091087,Emerging Markets
Oman,Middle East,0.9264024612448016,0.0062598196422536,2,0.45043117397091087,Emerging Markets
Jordan,Middle East,1.2988715237621378,,2,0.45043117397091087,Emerging Markets
Kuwait,Middle East,1.056027938444872,0.0020282201439454,2,0.45043117397091087,Emerging Markets
Bahrain,Middle East,0.896602061589101,0.0027399726194956,2,0.45043117397091087,Emerging Markets
United Arab Emirates,Middle East,0.9159181322241527,0.0030484514767742,2,0.45043117397091087,Emerging Markets
Philippines,Asia,0.8265205959654611,0.0375490871403791,2,0.45043117397091087,Emerging Markets
Singapore,Asia,0.8322392309344012,0.0021114083518221,3,0.45043117397091087,Niche Markets
South_Korea,Other,0.7736053827344902,,3,0.45043117397091087,Niche Markets
Japan,Asia,0.7545720389824836,0.0037107694809166,3,0.45043117397091087,Niche Markets
Thailand,Asia,0.730475560912543,0.0173551828423415,3,0.45043117397091087,Niche Markets
India,Asia,0.7040458117422239,0.0447447404082296,3,0.45043117397091087,Niche Markets
Malaysia,Asia,0.6858878760358254,0.0095873191207917,3,0.45043117397091087,Niche Markets
