country,region,avg_price_usd,avg_rating,total_products,unique_categories,price_standard_deviation,gdp_per_capita,online_availability_pct,assortment_breadth,global_avg_price,price_index,affordability_index
Egypt,Africa,255.1526501801802,4.655214305214305,7326,21,457.39107469986124,3876.0,67.69041769041769,149,166.00235381996333,1.5370423630071184,0.06582885711562957
Morocco,Africa,233.4195851971748,4.6,6796,22,414.321758243745,3654.0,80.75338434373161,154,166.00235381996333,1.4061221411976383,0.06388056518806097
Jordan,Middle East,215.6157302542373,4.6,7080,22,376.54691932371486,,82.11864406779661,147,166.00235381996333,1.2988715237621378,
Switzerland,Europe,213.29816636245113,4.566740547588005,7670,23,393.79858851693047,,97.37940026075619,165,166.00235381996333,1.284910493460726,
Norway,Europe,195.62496702339473,4.387991538078646,8036,21,337.61092707118854,,97.46142359382777,170,166.00235381996333,1.1784469468159373,
United States,North America,193.17040883977901,4.401019030079804,8145,23,374.8824920222934,81695.0,98.28115408225906,177,166.00235381996333,1.1636606613980944,0.0023645315972798705
Austria,Europe,191.35335133928572,4.496676587301587,8064,22,331.95157718608135,56433.0,97.71825396825396,162,166.00235381996333,1.1527146870870075,0.0033908059351671137
Belgium,Europe,189.454170973951,4.388489670216861,7793,22,355.5731966103495,54918.0,97.11279353265752,164,166.00235381996333,1.141274003737454,0.0034497645758030334
Germany,Europe,183.61778262529836,4.386945107398568,8380,21,325.12124028795716,55352.0,98.04295942720763,161,166.00235381996333,1.1061155363160677,0.003317274581321332
Denmark,Europe,180.83482794174506,4.390127593762083,7759,22,326.20300012930306,62893.0,96.49439360742363,167,166.00235381996333,1.0893509867809958,0.002875277502134499
France,Europe,180.75202473971245,4.397211204759543,8068,21,312.7639643572339,52847.0,98.01685671789787,162,166.00235381996333,1.0888521793838284,0.0034202892262514893
Finland,Europe,179.81430864850572,4.391999471039408,7562,22,328.7060785180136,54216.0,96.8923565194393,166,166.00235381996333,1.0832033673662365,0.0033166280922330258
Saudi_Arabia,Other,176.54694911490182,4.707692307692308,6214,23,311.27152303499054,,88.68683617637593,156,166.00235381996333,1.063520757701873,
Kuwait,Middle East,175.30312348149207,4.6,6997,21,314.7014817412748,86432.0,85.25082178076319,147,166.00235381996333,1.0560279384448719,0.0020282201439454375
Ireland,Europe,171.97477107114935,4.792025019546521,7674,22,322.47780973258875,95481.0,92.46807401615845,164,166.00235381996333,1.0359779070221098,0.001801141285398659
